Wavelength_01 CsPbBr3_PL Wavelength_02 CsPbBr3_Abs Wavelength_03 CsPbI3_PL Wavelength_04 CsPbI3_Abs
3.26823e+02 1.40889e+00 3.26823e+02 8.28889e-01 3.26823e+02 -1.20000e-01 3.26823e+02 2.27000e+00
3.27614e+02 1.78000e+00 3.27614e+02 8.24444e-01 3.27614e+02 1.11111e-01 3.27614e+02 2.26000e+00
3.28405e+02 1.90444e+00 3.28405e+02 8.18889e-01 3.28405e+02 1.35556e-01 3.28405e+02 2.25000e+00
3.29196e+02 1.74444e+00 3.29196e+02 8.14444e-01 3.29196e+02 -1.00000e-02 3.29196e+02 2.24000e+00
3.29987e+02 1.87444e+00 3.29987e+02 8.08889e-01 3.29987e+02 2.00000e-02 3.29987e+02 2.23222e+00
3.30778e+02 1.73222e+00 3.30778e+02 8.04444e-01 3.30778e+02 -1.11111e-01 3.30778e+02 2.22222e+00
3.31569e+02 1.99333e+00 3.31569e+02 8.00000e-01 3.31569e+02 9.77778e-02 3.31569e+02 2.21667e+00
3.32360e+02 2.57556e+00 3.32360e+02 7.96667e-01 3.32360e+02 5.10000e-01 3.32360e+02 2.20889e+00
3.33150e+02 2.60444e+00 3.33150e+02 7.93333e-01 3.33150e+02 4.15556e-01 3.33150e+02 2.19667e+00
3.33941e+02 2.82333e+00 3.33941e+02 7.87778e-01 3.33941e+02 5.27778e-01 3.33941e+02 2.18333e+00
3.34731e+02 3.25000e+00 3.34731e+02 7.83333e-01 3.34731e+02 7.83333e-01 3.34731e+02 2.17000e+00
3.35522e+02 3.41222e+00 3.35522e+02 7.78889e-01 3.35522e+02 8.84444e-01 3.35522e+02 2.16000e+00
3.36312e+02 3.76889e+00 3.36312e+02 7.75556e-01 3.36312e+02 1.02556e+00 3.36312e+02 2.14667e+00
3.37103e+02 3.95444e+00 3.37103e+02 7.70000e-01 3.37103e+02 9.91111e-01 3.37103e+02 2.13000e+00
3.37893e+02 3.86889e+00 3.37893e+02 7.65556e-01 3.37893e+02 7.98889e-01 3.37893e+02 2.11667e+00
3.38683e+02 3.89333e+00 3.38683e+02 7.60000e-01 3.38683e+02 7.16667e-01 3.38683e+02 2.10000e+00
3.39473e+02 3.78111e+00 3.39473e+02 7.55556e-01 3.39473e+02 4.43333e-01 3.39473e+02 2.08000e+00
3.40264e+02 3.96111e+00 3.40264e+02 7.51111e-01 3.40264e+02 3.81111e-01 3.40264e+02 2.06444e+00
3.41054e+02 4.29556e+00 3.41054e+02 7.45556e-01 3.41054e+02 4.45556e-01 3.41054e+02 2.04556e+00
3.41844e+02 4.47000e+00 3.41844e+02 7.40000e-01 3.41844e+02 4.38889e-01 3.41844e+02 2.02778e+00
3.42633e+02 4.79778e+00 3.42633e+02 7.35556e-01 3.42633e+02 4.53333e-01 3.42633e+02 2.00667e+00
3.43423e+02 5.10556e+00 3.43423e+02 7.30000e-01 3.43423e+02 5.54444e-01 3.43423e+02 1.98556e+00
3.44213e+02 5.61444e+00 3.44213e+02 7.23333e-01 3.44213e+02 7.61111e-01 3.44213e+02 1.96556e+00
3.45003e+02 6.32889e+00 3.45003e+02 7.20000e-01 3.45003e+02 1.19222e+00 3.45003e+02 1.94556e+00
3.45792e+02 6.60000e+00 3.45792e+02 7.13333e-01 3.45792e+02 1.19222e+00 3.45792e+02 1.92667e+00
3.46582e+02 7.26444e+00 3.46582e+02 7.07778e-01 3.46582e+02 1.56222e+00 3.46582e+02 1.90778e+00
3.47371e+02 7.91000e+00 3.47371e+02 7.03333e-01 3.47371e+02 1.88889e+00 3.47371e+02 1.89000e+00
3.48161e+02 8.33000e+00 3.48161e+02 6.98889e-01 3.48161e+02 2.04333e+00 3.48161e+02 1.87000e+00
